('Cauliflower', 0.99, 25, 0.4, 2.4, 5.0),
('Cucumber', 0.49, 16, 0.1, 0.7, 3.6),
('Mushrooms', 1.99, 22, 1.5, 2.2, 3.2),
('Bell Pepper', 0.99, 29, 0.4, 1.2, 5.9),
('Bacon', 4.99, 500, 30.0, 25.0, 0.0),
('Cabbage', 0.99, 25, 0.2, 2.0, 4.8),
('Coconut Milk', 1.99, 230, 21.0, 2.4, 5.0),
('Corn', 0.39, 96, 1.9, 2.9, 21.4),
('Pomegranate', 2.99, 83, 0.4, 1.5, 15.3),
('Zucchini', 0.99, 25, 0.4, 1.2, 4.8),
('Basil', 1.99, 25, 0.4, 2.2, 2.8),
('Cilantro', 1.99, 23, 0.3, 1.7, 2.0),
('Pumpkin', 0.99, 26, 0.1, 1.5, 5.1),
('Celery', 0.99, 16, 0.3, 1.0, 2.9),
('Cheddar Cheese', 5.99, 408, 30.0, 25.0, 0.0),
('Lettuce', 0.99, 15, 0.1, 0.9, 2.4),
('Kimchi', 1.99, 23, 0.8, 2.5, 4.9),
('Bamboo shoot', 1.29, 20, 0.2, 1.2, 4.6),
('Sausage', 2.99, 280, 22, 12, 1.4),
('Clam', 3.99, 80, 1.6, 10.2, 2.2),
('Water', 0.99, 0, 0, 0, 0),
('Coca-Cola', 1.99, 140, 0, 0, 39),
('Wine', 12.99, 120, 0, 0, 4.7),
('Rice noodles', 0.79, 130, 0.4, 2.2, 28.1),
('Bread', 1.00, 265, 2.5, 4.8, 53.0),
('Vanilla extract', 3.00, 23, 0.1, 0.0, 0.0),
('Peas', 0.75, 80, 0.4, 5.3, 15.3),
('Dill', 0.25, 43, 0.9, 2.5, 7.1),
('Lemon Juice', 0.30, 22, 0.1, 0.4, 7.3),
('Smoked Salmon', 3.50, 195, 13.5, 20.5, 0.5),
('Peanut Butter', 2.50, 190, 16, 7, 6),
('Red Onion', 0.50, 40, 0.1, 1.1, 9),
('Caper', 1.00, 23, 0.9, 0.9, 3.4),
('Mint', 0.30, 70, 0.6, 3.3, 14.9),
('Balsamic Glaze', 3.00, 80, 0.1, 0.5, 18),
('Parmesan Cheese', 2.00, 431, 29, 38, 4),
('Green Beans', 1.20, 31, 0.1, 1.8, 6.9),
('Lemon Zest', 0.50, 29, 0.3, 1.1, 8.6),
('Brussels Sprouts', 1.50, 43, 0.3, 3.4, 8.9),
('Cherry Tomato', 0.30, 18, 0.2, 0.9, 3.9),
('Mozzarella Cheese', 2.50, 300, 22, 21, 2.2),
('Feta Cheese', 2.00, 264, 21.3, 14.2, 4.1),
('Bread Crumbs', 1.00, 405, 5.2, 13.3, 74.9),
('Nutmeg', 0.75, 525, 36.3, 5.8, 49.3),
('Tortilla Chips', 2.50, 152, 7.4, 2, 18.9),
('Baguette', 2.00, 270, 1, 7, 56),
('Dijon Mustard', 1.00, 66, 3.6, 3.6, 5.7),
('Old Bay Seasoning', 1.50, 0, 0, 0, 0),
('Heavy Cream', 3.00, 340, 36, 2.2, 3.4),
('Egg Noodles', 2.50, 211, 1.8, 8.1, 42.9),
('Chicken Broth', 1.50, 15, 0.2, 1.5, 1),
('Vegetable Broth', 1.50, 15, 0.1, 0.5, 2.9),
('Butternut Squash', 2.00, 45, 0.1, 1, 12),
('Cannellini Beans', 1.50, 333, 1.5, 21, 63),
('Pasta', 1.00, 200, 1, 7, 42),
('Curry Powder', 1.50, 325, 14.3, 13.9, 53.7),
('Leek', 1.00, 61, 0.2, 1.5, 14.2),
('Sticky Rice', 2.00, 150, 0.2, 2.7, 34),
('Ginseng', 5.00, 4, 0, 0.2, 1),
('Jujube', 1.00, 79, 0.2, 1.2, 20.2),
('Ginger', 0.50, 80, 0.9, 1.8, 17.8),
('Udon Noodles', 2.50, 143, 0.2, 3, 31.9),
('Fish Cake', 1.50, 77, 1.2, 6, 10),
('Dashi Broth', 1.00, 5, 0.1, 0.3, 1),
('Pulled Pork', 3.00, 250, 16, 25, 0),
('Arborio Rice', 2.00, 160, 0.5, 3, 36),
('Wood Ear Mushroom', 2.00, 7, 0.1, 1.5, 0.1),
('Glass Noodles', 1.50, 160, 0.2, 2, 40),
('Water Spinach', 1.00, 19, 0.2, 2.6, 2.7),
('Roasted Seaweed', 2.00, 10, 0.5, 1, 1),
('Bean Paste', 1.50, 100, 3, 5, 12),
('Jjajangmyeon Noodles', 2.50, 200, 1, 4, 42),
('Flour', 1.00, 364, 1.2, 10.3, 76.3),
('Cornstarch', 1.00, 381, 0.1, 0.3, 95.2),
('Vegetable Oil', 2.00, 240, 28, 0, 0),
('Cooking Instructions', 0, 0, 0, 0, 0),
